,time,username,fullname,tweet,retweets
86,Jun 15,@Carnage4Life,CNN,"How #startups are building #driverlesscars 

without #Google’s billions 

http://bit.ly/2tcpQW2  #fintech #insurtch @arstechnica @binarybits @JeroenBartelse @andi_staub @guzmand @SabineVdL @FGraillot @stratorob",7
87,Jun 15,@tictoc,Spiros Margaris,"Happy to see new developments in the field of Google-free android. Let's see how @gael_duval 's eelo will stand along @OsCopperhead, @lineageandroid and others
#Android #Privacy #Security #informationsecuity
https://www.theregister.co.uk/2018/06/15/meet_the_man_building_a_googlefree_android/ …",
88,Jun 14,@NPR,Nikoloz Kokhreidze,Vancouver lawyer gets $1 in damages after suing Google Plus ranter | CBC News - ,
89,Jun 14,@DigiByte_News,Phil Riddell,Google’s DeepMind develops AI that can render 3D objects from 2D pictures https://venturebeat.com/2018/06/14/googles-deepmind-develops-ai-that-can-render-3d-objects-from-2d-pictures/ …,
90,Jun 14,@FinancialXpress,VentureBeat,"When @Google extended #PaidFamilyLeave, it saw a 50% increase in employee retention. As we work w/ Congress on a #PFL policy, we encourage private sector commitment to investing in the workforce – it’s not just the right thing to do, it’s good business.",
91,Jun 14,@YahooFinance,Ivanka Trump,"Google built a tiny Street View car to map out one of the world's largest model cities, and the results are incredible (GOOG) https://read.bi/2xByoLJ ",2
92,Jun 14,@Rudra_Aksh09,Terri Nakamura,Google bought more land in Europe for its data center https://bloom.bg/2JCmoiv ,16
93,Jun 14,@CNN,Bloomberg,"OMG, you can check the interests Google has listed for you, and then turn them off -> Google refreshes its Ad Settings tool and Why this ad? feature to help users control information that is used to target ads and understand the ads that appear 
 https://glennga.be/2JJe4tf ",
94,Jun 14,@SpirosMargaris,Glenn Gabe,"App Maker, Google’s low-code tool for building business apps, comes out of beta https://tcrn.ch/2JIvJS1  by @fredericl",20
95,Jun 15,@nikolozsec,TechCrunch,"Google released its annual diversity report yesterday, and for the first time, included stats on hiring, attrition, and the intersection of race and gender. The results are telling. @WIRED  reports on the findings. #ChangeTheRatio https://www.wired.com/story/googles-employee-diversity-numbers-havent-really-improved/ …",
96,Jun 15,@PhilRiddell,Hackbright Academy,Amazon has replaced Google as the best place to work in the US https://work.qz.com/1236944/  via @QuartzAtWork,
97,Jun 15,@VentureBeat,Ricardo,Google has a hard time holding onto its black employees https://cnnmon.ie/2sZmlD1 ,
98,Jun 14,@IvankaTrump,CNNMoney,Google buys more land in Europe for data-center construction https://bloom.bg/2JDBx3h ,
99,Jun 14,@terrinakamura,Bloomberg Markets,"So many smart folks are working on hard problem of using AI to transcribe medical consultations on behalf of doctors and fill out the medical record, including Google. Team is called Medical Brain, and it’s a unit within Google Brain ",2
100,Jun 14,@business,Christina Farr,Google unveils revamped Ad Settings page to reassure us about its data collection https://trib.al/N8wvsn9 ,9
101,Jun 14,@glenngabe,Mashable,Even as #bitcoin plunged it’s still more popular than Beyoncé on Google searches according to @CNBC ! ,
102,Jun 14,@TechCrunch,Zero Carbon Project,"“In the end, we chose Accra because of a strong ecosystem of local universities and its proximity to a branch of the African Institute of Mathematical Sciences, and our experience in the country,” - @jeffdean quoted by @qzafrica",16
103,Jun 14,@Hackbright,Victor Asemota,"Dennis Prager castigated Google for its refusal to renew a contract with the Department of Defense that had arranged for the sharing of AI for the analysis of drone footage

#AI #AIio #BigData #ML #NLU #Iot http://ow.ly/MKzv30ku5bU 

CC: @stratorob @evankirstel @drfeifei @FGraillot",
104,Jun 14,@undef_obj,Terence Mills,"#420X @420x_Life This is why a #Cannabis Social , #Marketplace is best suited to be #Decentralized on the #BLOCKCHAIN . $ETH $BTC $XVG $LTC $DGB $DASH #CannabisCures",
105,Jun 14,@CNNMoney,"420X.Life 420X Official  
🌱",Crazy images caught on Google Street View https://cnet.co/2JAD22i ,
106,Jun 14,@markets,CNET,Google funds $40 million space catapult. True. ,
107,Jun 14,@chrissyfarr,Ashlee Vance,"As the #TrumpKimSummit dominated headlines, ‘Where is Singapore’ became one of the most searched Google phrases in the U.S. on Monday https://reut.rs/2sVY0hw ",1
108,Jun 14,@mashable,Reuters Top News,Here's a way around Facebook and Google's marketing dominance https://bloom.bg/2ycnMDm ,5
109,Jun 14,@ZeroCarbonPrjct,Bloomberg,"Now we are talking! Google will open an AI center in Ghana later this year, its first in Africa https://venturebeat.com/2018/06/13/google-will-open-an-ai-center-in-ghana-later-this-year-its-first-in-africa/ … via @VentureBeat",
110,Jun 14,@asemota,Carlos Lopes,"#Retail: @CarrefourGroup partners with @Google for digital push
> https://www.ft.com/content/0ef1f7de-6d9a-11e8-92d3-6c13e5c92914 …

The French company said it was partnering with the US tech group on a “new grocery #ShoppingExperience” that will allow its customers to buy Carrefour products through the #GoogleAssistant.",15
111,Jun 13,@terence_mills,IQUII Retail,#Google at its best : Google brings offline neural machine translations for 59 languages to its Translate app #ArtificialIntelligence #ML #Translation https://buff.ly/2JwMl36 ,
112,Jun 13,@420x_Life,Christophe Tricot,"#auspol 
Barnaby Joyce warned of 'cold' reception at NSW Nationals conference

https://www.smh.com.au/politics/federal/barnaby-joyce-warned-of-cold-reception-at-nsw-nationals-conference-20180613-p4zl9e.html …

Shared from my Google feed",
113,Jun 13,@CNET,BigAl,We went through 14 years worth of Google searches on Israel and Palestine. Here’s what we found: http://aje.io/lrxld ,
114,Jun 14,@valleyhack,Al Jazeera English,Here's a way around Facebook and Google's marketing dominance https://bloom.bg/2JCrviY ,
115,Jun 13,@Reuters,Bloomberg,"Google is opening an AI research center in Ghana. The center will focus on using AI in healthcare, agriculture, and education - via @businessinsider http://ow.ly/Auoa30kugY1  #AI #innovation #healthcare",
116,Jun 13,@business,Marion,"#Google is throwing its weight behind 

#ArtificialIntelligence for #Africa 

http://bit.ly/2t3Pxbq  #fintech #insurtech #AI #MachineLearning #DeepLearning #robots @journokwasi @qzafrica",4
117,Jun 13,@LopesInsights,Spiros Margaris,"Aussies Can Sue Google For Defamation, Court Rules https://trib.al/Y7nrhSG ",
118,Jun 13,@IQUIIRetail,The Daily Caller,"Vietnam’s National Assembly has passed a cybersecurity law requiring companies such as Google and Facebook to store all data of Vietnam-based users in the country, sparking protests https://bloom.bg/2sXli6L ",6
119,Jun 13,@ctricot,TicToc by Bloomberg,I’m very excited to see the deep partnership develop between Google & Salesforce anchored with the integration with Google Analytics 360.  This is the best of both worlds.  Salesforce Marketing Cloud is amplified through the power of Google’s capabilities. ,
120,Jun 13,@banas51,Marc Benioff,"Google is opening an artificial intelligence research center in Ghana

 http://www.businessinsider.com/google-ai-research-center-ghana-africa-2018-6 …",
121,Jun 13,@AJEnglish,Charles Onyango-Obbo,"Frederique Dame is taking the lessons of hyper-growth during early Uber days to Google Ventures
http://on.forbes.com/6014DY32r ",
122,Jun 13,@business,Forbes,"Australian man to sue Google for defamation over search results that could suggest he's linked to ""criminal underworld."" https://cbsn.ws/2HLaz42 ",
123,Jun 13,@MarionFauchon,CBS News,"the “pipeline problem” is basically BS. Just 2% of google’s staff is black; comp to 4% of stem phds, 8% of masters https://www.bloomberg.com/news/articles/2018-06-13/the-myth-of-the-pipeline-problem-jid07tth …",2
124,Jun 13,@SpirosMargaris,Max Chafkin,Salesforce deepens data sharing partnership with Google https://tcrn.ch/2HKTirq  by @ron_miller,35
125,Jun 13,@DailyCaller,TechCrunch,"The tired old lie that the UK can simply choose unilaterally to dispense with a hard border in Ireland is still doing the rounds. This FT briefing from last November covers it, or just google ""MFN Northern Ireland"". https://www.ft.com/content/1ce27838-d370-11e7-8c9a-d9c0a5c8d5c9 …",
126,Jun 12,@tictoc,"Chris Kendall  
🇪🇺",Google is under fire in a defamation case after someone Googled themselves  https://cnet.co/2JKl5gX ,127
127,Jun 12,@Benioff,CNET,"This is insanity. FFS.  #stopadani  Adani shuns water trigger despite drought

https://www.smh.com.au/politics/federal/adani-shuns-water-trigger-despite-drought-20180612-p4zkz1.html …

Shared from my Google feed",
128,Jun 12,@cobbo3,People Matter,"""Google has released a stunning cache of satellite images that show how the globe has changed in recent decades."" Click on the link for more time-lapse GIFs from Google. #map @Google @NPR 
http://ow.ly/AGM530krFmD ",
129,Jun 12,@Forbes,The American Geographical Society,Apple Pay vs. Samsung Pay vs. Google Pay: Best payment service https://cnet.co/2JwyBFn ,
130,Jun 12,@CBSNews,CNET,"  Android malware is infecting Amazon Fire TVs and Fire Sticks

https://www.engadget.com/2018/06/12/android-malware-infecting-amazon-fire-tvs-sticks/ …

Shared from my Google feed",
131,Jun 12,@chafkin,"RED 79  
🔴
 ✌",Google improves Translate with offline AI: #ai #ml #dl #iot cc: @MikeQuindazzi https://www.engadget.com/2018/06/12/google-translate-offline-ai-translation/ …,2
132,Jun 12,@TechCrunch,Rachel Marshall,"""Insiders at tech heavyweights selling stock at the fastest pace in six years...Senior executives and directors of Facebook, Amazon, Netflix Inc. and Google parent Alphabet have disposed of $4.58 billion this year"" https://www.bloomberg.com/news/articles/2018-06-12/fang-insiders-are-on-track-to-sell-more-than-5-billion-of-stock?utm_source=twitter&utm_campaign=socialflow-organic&utm_medium=social&utm_content=business&cmpid=socialflow-twitter-business …",4
133,Jun 12,@ottocrat,Trevor Noren,"Google says its custom #MachineLearning chips are often 15-30x faster than GPUs and CPUs
by @fredericl @techcrunch @Google |

Read more at http://tcrn.ch/2oYFbti 

#AI #ArtificialIntelligence #ML #DeepLearning #DL #Algorithms #TensorFlow #NeuralNetworks #RT

cc:@hugo_larochelle",
